province,health_region,date_report,cases,cumulative_cases,deaths,cumulative_deaths,numtotal_last14,numdeaths_last14,numtotal_last7,numdeaths_last7,avgtotal_last7,avgdeaths_last7
Manitoba,Southern Health,2022-03-10,12.0,18714.0,0.0,331.0,244.0,5.0,108.0,3.0,15.428571428571429,0.42857142857142855
Manitoba,Southern Health,2022-03-11,19.0,18733.0,1.0,332.0,233.0,6.0,111.0,3.0,15.857142857142858,0.42857142857142855
Manitoba,Southern Health,2022-03-12,0.0,18733.0,0.0,332.0,233.0,6.0,111.0,3.0,15.857142857142858,0.42857142857142855
Manitoba,Southern Health,2022-03-13,0.0,18733.0,0.0,332.0,233.0,6.0,111.0,3.0,15.857142857142858,0.42857142857142855
Manitoba,Winnipeg,2022-03-07,174.0,71996.0,4.0,1058.0,1076.0,23.0,415.0,10.0,59.285714285714285,1.4285714285714286
Manitoba,Winnipeg,2022-03-08,51.0,72047.0,0.0,1058.0,902.0,20.0,401.0,10.0,57.285714285714285,1.4285714285714286
Manitoba,Winnipeg,2022-03-09,78.0,72125.0,2.0,1060.0,912.0,22.0,427.0,11.0,61.0,1.5714285714285714
Manitoba,Winnipeg,2022-03-10,100.0,72225.0,3.0,1063.0,920.0,22.0,469.0,12.0,67.0,1.7142857142857142
Manitoba,Winnipeg,2022-03-11,62.0,72287.0,1.0,1064.0,878.0,17.0,465.0,10.0,66.42857142857143,1.4285714285714286
Manitoba,Winnipeg,2022-03-12,0.0,72287.0,0.0,1064.0,878.0,17.0,465.0,10.0,66.42857142857143,1.4285714285714286
Manitoba,Winnipeg,2022-03-13,0.0,72287.0,0.0,1064.0,878.0,17.0,465.0,10.0,66.42857142857143,1.4285714285714286
NL,Central,2022-03-07,0.0,3532.0,0.0,27.0,550.0,2.0,241.0,0.0,34.42857142857143,0.0
NL,Central,2022-03-08,178.0,3710.0,1.0,28.0,728.0,3.0,419.0,1.0,59.857142857142854,0.14285714285714285
NL,Central,2022-03-09,103.0,3813.0,1.0,29.0,755.0,3.0,423.0,2.0,60.42857142857143,0.2857142857142857
NL,Central,2022-03-10,0.0,3813.0,0.0,29.0,755.0,3.0,423.0,2.0,60.42857142857143,0.2857142857142857
NL,Central,2022-03-11,210.0,4023.0,1.0,30.0,859.0,4.0,491.0,3.0,70.14285714285714,0.42857142857142855
NL,Central,2022-03-12,0.0,4023.0,0.0,30.0,859.0,4.0,491.0,3.0,70.14285714285714,0.42857142857142855
NL,Central,2022-03-13,0.0,4023.0,0.0,30.0,859.0,4.0,491.0,3.0,70.14285714285714,0.42857142857142855
NL,Eastern,2022-03-07,0.0,17019.0,0.0,29.0,2549.0,1.0,1178.0,0.0,168.28571428571428,0.0
NL,Eastern,2022-03-08,910.0,17929.0,1.0,30.0,3459.0,2.0,2088.0,1.0,298.2857142857143,0.14285714285714285
NL,Eastern,2022-03-09,882.0,18811.0,2.0,32.0,4009.0,4.0,2390.0,3.0,341.42857142857144,0.42857142857142855
NL,Eastern,2022-03-10,0.0,18811.0,0.0,32.0,4009.0,4.0,2390.0,3.0,341.42857142857144,0.42857142857142855
NL,Eastern,2022-03-11,909.0,19720.0,2.0,34.0,4462.0,6.0,2701.0,5.0,385.85714285714283,0.7142857142857143
NL,Eastern,2022-03-12,0.0,19720.0,0.0,34.0,4462.0,6.0,2701.0,5.0,385.85714285714283,0.7142857142857143
NL,Eastern,2022-03-13,0.0,19720.0,0.0,34.0,4462.0,6.0,2701.0,5.0,385.85714285714283,0.7142857142857143
NL,Labrador-Grenfell,2022-03-07,0.0,2244.0,0.0,1.0,168.0,0.0,67.0,0.0,9.571428571428571,0.0
NL,Labrador-Grenfell,2022-03-08,29.0,2273.0,0.0,1.0,197.0,0.0,96.0,0.0,13.714285714285714,0.0
NL,Labrador-Grenfell,2022-03-09,31.0,2304.0,0.0,1.0,203.0,0.0,113.0,0.0,16.142857142857142,0.0
NL,Labrador-Grenfell,2022-03-10,0.0,2304.0,0.0,1.0,203.0,0.0,113.0,0.0,16.142857142857142,0.0
NL,Labrador-Grenfell,2022-03-11,47.0,2351.0,0.0,1.0,237.0,0.0,107.0,0.0,15.285714285714286,0.0
NL,Labrador-Grenfell,2022-03-12,0.0,2351.0,0.0,1.0,237.0,0.0,107.0,0.0,15.285714285714286,0.0
NL,Labrador-Grenfell,2022-03-13,0.0,2351.0,0.0,1.0,237.0,0.0,107.0,0.0,15.285714285714286,0.0
NL,Not Reported,2022-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,Not Reported,2022-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,Not Reported,2022-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,Not Reported,2022-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,Not Reported,2022-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,Not Reported,2022-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,Not Reported,2022-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,Western,2022-03-07,0.0,2933.0,0.0,9.0,487.0,0.0,216.0,0.0,30.857142857142858,0.0
NL,Western,2022-03-08,127.0,3060.0,0.0,9.0,614.0,0.0,343.0,0.0,49.0,0.0
